HASI,0001561894
LTRE,0001002037
BBG,0001172139
CREE,0000895419
HME,0000923118
SSW^E,0001332639
TFSCU,0001606163
NEA,0001195737
REG^G,0000910606
CCOI,0001158324
TROVW,0001213037
CRMT,0000799850
SLVO,0001032405
OKS,0000909281
ISF,0001039765
TKAI,0001404281
CBYL,0001348911
INZ,0001039765
GXP^E,0001143068
JYNT,0001612630
BMRN,0001048477
PCCC,0001050377
ICE,0001571949
AMP,0000820027
LEAF,0001584207
TNH,0000879575
GLDC,0000042228
SB,0001434754
STZ.B,0000016918
AIB,0001278752
DD^B,0000030554
SPP,0001362705
DDE,0001162556
PARR,0000821483
UNF,0000717954
FNGN,0001430592
GUID,0001375557
HSKA,0001038133
SCAI,0001411574
KFFB,0001297341
AMRN,0001120246
CTRE,0001590717
DLR,0001297996
PCTI,0001057083
SGM,0001454389
EMC,0000790070
USB^A,0000036104
CCBG,0000726601
ATRI,0000701288
CASH,0000907471
JNJ,0000200406
OCRX,0001274644
EZCH,0000892534
VSAR,0001513818
GXP^D,0001143068
MTH,0000833079
EML,0000031107
TCAP,0001379785
MA,0001141391
TEX,0000097216
BSTC,0000875622
CELP,0001587246
JGV,0001363421
EGO,0000918608
PRGS,0000876167
PIY,0000065100
ARDC,0001515324
ZBRA,0000877212
MSFT,0000789019
UBCP,0000731653
WHFBL,0001552198
DHI,0000882184
AMAG,0000792977
FRC^F,0001132979
NCIT,0001334478
UCBA,0001344970
SSH,0001506492
IPHI,0001160958
FCX,0000831259
VIMC,0001341088
CRC,0001609253
MHI,0001223026
EVJ,0001074691
CLX,0000021076
CIFC,0001313918
NGLS,0001379661
WLK,0001262823
FLY,0001407298
SMACR,0001608269
ATHX,0001368148
DX^B,0000826675
HVT,0000216085
RT,0000068270
EVN,0001074540
TISI,0000318833
APTS,0001481832
ZBB,0001140310
MGI,0001273931
OLBK,0001253317
TGLS,0001534675
TSS,0000721683
CODI,0001345126
ALNY,0001178670
KBR,0001357615
MMT,0000809173
REN,0001469510
BOCH,0000702513
CTS,0000026058
ESI,0000922475
SLW,0001323404
CAPX,0001595127
ATAX,0001059142
TGB,0000878518
BVA,0001466292
IAE,0001385632
CMA,0000028412
COP,0001163165
FSM,0000037914
SRNE,0000850261
ZB^H,0001642140
CHNR,0000793628
CPF,0000701347
IRET,0000798359
SAAS,0001087934
CASS,0000708781
EMMS,0000783005
ELY,0000837465
MNTX,0001302028
CNCE,0001367920
HSIC,0001000228
NXP,0000883618
BVSN,0000920448
FBIZ,0001521951
SVA,0001084201
RXN,0001439288
AHT,0001232582
ADAT,0000885074
NFEC,0001213660
HAE,0000313143
POST,0001530950
SQM,0000909037
STRT,0000933034
CCC,0000812701
NWSA,0001564708
MVG,0001230992
RFT,0001045425
INVN,0001294924
FES,0001434842
MYGN,0000899923
ATTU,0000893821
ABC,0001140859
VNOM,0001602065
AXL,0001062231
PLD,0001045609
RPM,0000110621
AIV^A,0000922864
DRAD,0000707388
FRS,0000039047
INFA,0001080099
ARTW,0000007623
NVGN,0001075880
NXC,0000885732
PKO,0001412350
FMBI,0000702325
ASUR,0000884144
BMR,0001289236
CVCY,0001127371
BLDP,0000933777
PHII,0000350403
NYCB,0000910073
ADAP,0001621227
DNR,0000945764
PEB,0001474098
HRMN,0001612720
CHSCL,0000823277
UBSH,0000883948
WDAY,0001327811
HAFC,0001109242
GLOW,0000746210
WEYS,0000106532
GT,0000042582
ATHN,0001131096
FOXF,0001424929
RAI,0001275283
SBNA,0001483934
FB,0001326801
PTCT,0001070081
DSCO,0000946486
TCPC,0001370755
AOD,0001379400
STT^D,0000093751
IHS,0001316360
OTEL,0001288359
BPL,0000805022
NNVC,0001379006
AIY,0001278752
STAA,0000718937
ACFC,0001404296
GALT,0001133416
ANTX,0001156039
WSFSL,0000828944
CNP,0001130310
GLT,0000041719
ELOS,0001291361
CNA,0000021175
AGNCP,0001423689
ARGS,0001105533
RCAP,0001568832
BALT,0001474042
D,0000715957
MIE,0001270436
TRUP,0001371285
ON,0001097864
LGCYP,0001358831
BYD,0000906553
VRSN,0001014473
SIBC,0001513971
PEG,0000788784
SIMO,0001329394
HBAN,0000049196
DMD,0001365038
WMGI,0001137861
LOAN,0001080340
ROK,0001024478
